gender,experience,department,promotion
Male,High,Tech,Yes
Female,Medium,HR,Yes
Male,Medium,Management,Yes
Male,Medium,HR,Yes
Male,Medium,Tech,Yes
Female,Low,Management,No
Female,High,Tech,No
Female,Medium,Tech,Yes
Male,Low,Tech,Yes
Male,Medium,HR,Yes
Male,Low,HR,Yes
Female,High,HR,Yes
Male,Medium,Tech,Yes
Female,High,Tech,No
Female,Low,Tech,No
Female,High,Management,No
Male,Medium,Tech,Yes
Female,Medium,HR,No
Female,Medium,Management,Yes
Female,High,Management,Yes
Female,High,HR,Yes
Female,Medium,Tech,No
Male,High,Tech,Yes
Male,Low,HR,Yes
Female,High,Management,Yes
Female,Low,HR,Yes
Male,Medium,HR,Yes
Female,High,HR,Yes
Male,Low,HR,Yes
Male,High,Management,Yes
Male,Low,Management,Yes
Male,High,Tech,Yes
Male,Medium,Tech,Yes
Female,Medium,Management,No
Male,Low,HR,Yes
Female,Medium,Management,Yes
Female,Low,Tech,No
Male,High,Tech,Yes
Male,Low,HR,Yes
Male,Low,Management,Yes
Female,High,HR,Yes
Male,High,Tech,Yes
Male,Medium,Management,Yes
Female,Medium,Tech,No
Female,High,Tech,No
Female,Medium,Management,Yes
Female,Medium,HR,Yes
Male,Medium,Management,Yes
Female,Low,HR,No
Male,Medium,Management,Yes
Female,Medium,Tech,Yes
Female,Medium,Tech,No
Male,High,Management,Yes
Female,High,HR,No
Male,Medium,Management,Yes
Male,Low,HR,Yes
Female,Medium,Management,No
Female,High,Tech,No
Female,High,HR,No
Male,Low,HR,Yes
Male,Medium,Tech,Yes
Female,Medium,Management,Yes
Female,High,Tech,Yes
Female,Low,Tech,Yes
Female,High,Tech,Yes
Male,Medium,HR,Yes
Female,Low,HR,No
Female,Low,Tech,Yes
Female,Low,Tech,No
Male,High,Tech,Yes
Female,High,Tech,No
Male,Medium,HR,Yes
Male,Medium,HR,Yes
Female,Low,Tech,Yes
Female,Medium,Management,Yes
Female,High,Management,Yes
Male,High,Management,Yes
Male,Medium,Tech,Yes
Male,Low,Tech,Yes
Female,Medium,Tech,No
Male,High,HR,Yes
Male,High,HR,Yes
Female,High,Management,Yes
Female,Low,HR,No
Female,Low,Tech,Yes
Female,Low,HR,Yes
Male,High,Management,Yes
Male,Medium,Management,Yes
Female,Medium,HR,No
Male,Medium,Tech,Yes
Female,Medium,Management,No
Male,Medium,HR,Yes
Male,High,Tech,Yes
Male,Medium,HR,Yes
Male,Medium,HR,Yes
Male,Medium,HR,Yes
Female,Low,Tech,No
Male,Medium,HR,Yes
Female,High,Management,Yes
Female,Medium,Tech,No
Male,Medium,Management,Yes
Female,Medium,Tech,No
Male,Medium,Tech,Yes
Male,Low,Management,Yes
Female,Low,HR,No
Male,High,HR,Yes
Male,Medium,Tech,Yes
Female,Medium,Management,No
Female,High,HR,No
Male,High,Management,Yes
Male,Low,Tech,Yes
Male,High,Tech,Yes
Female,Medium,HR,No
Male,High,Management,Yes
Female,High,Management,Yes
Male,High,HR,Yes
Female,Medium,Management,No
Male,Medium,HR,Yes
Female,High,HR,No
Female,Medium,HR,Yes
Female,High,Management,Yes
Female,Medium,Tech,Yes
Male,High,Management,Yes
Male,High,Tech,Yes
Male,Low,Management,Yes
Male,Medium,Tech,Yes
Female,High,Management,No
Male,Low,Management,Yes
Male,High,Management,Yes
Male,Low,Management,Yes
Female,Medium,HR,Yes
Female,Medium,Tech,Yes
Female,Medium,Management,Yes
Male,Low,Management,Yes
Female,Medium,HR,Yes
Female,Low,Tech,No
Male,Low,Management,Yes
Male,High,Management,Yes
Male,High,Management,Yes
Female,Medium,Tech,Yes
Female,Low,HR,No
Male,Low,Management,Yes
Male,High,Management,Yes
Male,High,Tech,Yes
Male,Low,Management,Yes
Male,Low,Management,Yes
Male,Low,Management,Yes
Female,High,Management,No
Male,High,Management,Yes
Male,Low,HR,Yes
Female,High,HR,No
Female,Low,Management,No
Female,Low,HR,Yes
Male,Medium,Management,Yes
Female,High,Management,No
Male,High,Tech,Yes
Male,Medium,HR,Yes
Male,Low,HR,Yes
Female,High,Tech,No
Male,Low,Management,Yes
Male,Low,Management,Yes
Male,High,HR,Yes
Male,High,Tech,Yes
Male,High,Tech,Yes
Female,Low,HR,Yes
Female,High,Management,No
Female,Medium,HR,Yes
Female,Medium,HR,Yes
Male,Low,Management,Yes
Male,High,Tech,Yes
Female,High,HR,Yes
Female,High,Management,No
Male,High,Tech,Yes
Female,High,Management,Yes
Male,High,HR,Yes
Male,High,Tech,Yes
Male,High,HR,Yes
Female,Low,Management,Yes
Female,High,Management,Yes
Female,Low,HR,No
